"Date/Time Opened"	"Case Number"	"Account Name"	"SIS (Student Information System)"	"CE Functional Area"	"CE Category"	"Subject"	"Case Date/Time Last Modified"	"Date/Time Grabbed"	"Date/Time Closed"	"Case Owner"	"Status"
"11/12/2020 3:27 PM"	4781797	"Biloxi School District"	"Chalkable (iNow)"			"Automated attendance calls not going out"	"11/17/2020 9:24 AM"	"11/13/2020 9:30 AM"	"11/17/2020 9:22 AM"	"Fabricio Chungo"	"Closed"
"11/23/2020 3:37 PM"	4789776	"Alden Central School District"	"PowerSchool-API"			"Dad missing from student record"	"12/18/2020 8:34 AM"	"11/24/2020 8:09 AM"	"12/18/2020 8:34 AM"	"Fabricio Chungo"	"Closed"
"11/24/2020 12:39 PM"	4790587	"Richmond Public Schools"	"Aspen Follett (MSSQL)"			"Maymont Preschool Center"	"12/7/2020 1:52 PM"	"11/24/2020 2:49 PM"	"12/7/2020 1:52 PM"	"Fabricio Chungo"	"Closed"
"12/3/2020 10:47 AM"	4796907	"Clarence Central School Dist"	"PowerSchool"			"Clarence MN Data Change Request"	"2/11/2021 1:47 PM"	"12/3/2020 12:20 PM"	"1/12/2021 1:39 PM"	"Fabricio Chungo"	"Closed"
"12/2/2020 3:56 PM"	4796267	"School District 49"	"PowerSchool-API"			"Missing Information"	"1/7/2021 10:48 AM"	"12/2/2020 4:29 PM"	"1/7/2021 10:06 AM"	"Fabricio Chungo"	"Closed"
"12/8/2020 11:51 AM"	4800414	"Greenville Ind School District"	"Skyward"			"Blackboard- Greenville ISD"	"12/26/2020 1:32 PM"	"12/8/2020 2:35 PM"	"12/26/2020 1:32 PM"	"Fabricio Chungo"	"Closed"
"12/9/2020 9:51 AM"	4801325	"Clarendon School District 2"	"PowerSchool-API"			"Files Not Updated on the FTP"	"12/18/2020 3:18 PM"	"12/9/2020 9:54 AM"	"12/18/2020 3:17 PM"	"Fabricio Chungo"	"Closed"
"12/9/2020 3:48 PM"	4802007	"Burleson ISD"	"Skyward"			"Mobile app grades/classes information"	"12/15/2020 3:16 PM"	"12/10/2020 3:41 PM"	"12/15/2020 12:32 PM"	"Fabricio Chungo"	"Closed"
"12/10/2020 12:28 PM"	4802861	"Washington Co School District"	"Synergy"			"Nightly Student File / Spanish Group"	"12/23/2020 8:01 AM"	"12/10/2020 1:12 PM"	"12/23/2020 7:11 AM"	"Fabricio Chungo"	"Closed"
"12/13/2020 5:11 PM"	4804714	"Jay School District 1"	"Wen-GAGE"			"Missing Staff Accounts"	"12/27/2020 1:47 PM"	"12/17/2020 11:51 AM"	"12/27/2020 1:47 PM"	"Fabricio Chungo"	"Closed"
"12/14/2020 3:55 PM"	4805598	"Spokane Public Schools"	"PowerSchool-API"			"Set substitutes to Staff or Teacher"	"12/18/2020 8:29 PM"	"12/15/2020 8:20 AM"	"12/18/2020 8:29 PM"	"Fabricio Chungo"	"Closed"
"1/4/2021 2:59 PM"	4815811	"West Valley Ctl Sch Dist"	"eSchoolData"			"an inquiry about DataLink query for parents not including relationship listed in eschooldata; West Valley Parent Called with No Relationship"	"2/4/2021 12:48 PM"	"1/4/2021 4:16 PM"	"1/5/2021 12:39 PM"	"Fabricio Chungo"	"Closed"
"1/6/2021 5:43 PM"	4817770	"Battle Ground Public Schools"	"Skyward"			"Need additional data mapped to Blackboard"	"2/16/2021 1:35 PM"	"1/7/2021 8:22 AM"	"2/11/2021 2:31 PM"	"Fabricio Chungo"	"Closed"
"1/13/2021 1:57 PM"	4822367	"Notre Dame Cathedral Latin"	"Rediker"			"student schedules are not importing"	"1/28/2021 11:24 AM"	"1/13/2021 1:57 PM"	"1/28/2021 11:21 AM"	"Fabricio Chungo"	"Closed"
"1/12/2021 2:42 PM"	4821396	"Lamar Co School District"	"InformationNow-API"			"Attendance Messages Not Going Out"	"3/6/2021 1:02 PM"	"1/12/2021 2:42 PM"	"2/4/2021 12:58 PM"	"Fabricio Chungo"	"Closed"
"1/14/2021 1:55 PM"	4823367	"Harnett Co School District"	"PowerSchool-API"			"Pulling additional info. from PowerSchool"	"2/11/2021 4:52 PM"	"1/14/2021 3:01 PM"	"2/4/2021 3:33 PM"	"Fabricio Chungo"	"Closed"
"1/19/2021 9:50 AM"	4825692	"Augusta School District"	"Skyward"			"Trouble Updating Data Files Via Datalink"	"3/20/2021 10:47 AM"	"1/19/2021 9:50 AM"	"3/20/2021 10:47 AM"	"Fabricio Chungo"	"Closed"
"1/19/2021 9:39 AM"	4825672	"Manchester School District"	"PowerSchool"			"counselor groups"	"2/21/2021 12:18 PM"	"1/19/2021 10:27 AM"	"1/22/2021 12:14 PM"	"Fabricio Chungo"	"Closed"
"1/26/2021 4:04 PM"	4831903	"Uvalde Cons Ind School Dist"	"Skyward"			"Data Files Are Not Updating"	"1/27/2021 3:20 PM"	"1/26/2021 4:04 PM"	"1/27/2021 3:08 PM"	"Fabricio Chungo"	"Closed"
"1/28/2021 3:21 PM"	4833939	"Campbell Co School District 1"	"PowerSchool"			"FTP upload error"	"2/17/2021 2:18 PM"	"1/28/2021 4:27 PM"	"2/17/2021 2:17 PM"	"Fabricio Chungo"	"Closed"
"2/3/2021 9:45 AM"	4838075	"Webb City R-7 School District"	"PowerSchool-API"			"Attendance Reports"	"2/5/2021 12:06 PM"	"2/3/2021 12:30 PM"	"2/5/2021 12:03 PM"	"Fabricio Chungo"	"Closed"
"2/5/2021 3:56 PM"	4840673	"Harnett Co School District"	"PowerSchool-API"			"NC DPI migration"	"3/18/2021 11:33 AM"	"2/5/2021 3:56 PM"	"2/16/2021 10:20 AM"	"Fabricio Chungo"	"Closed"
"2/9/2021 10:17 AM"	4842416	"Iredell-Statesville School District"	"PowerSchool-API"			"NC DPI migration"	"2/16/2021 10:26 AM"	"2/9/2021 10:17 AM"	"2/16/2021 10:24 AM"	"Fabricio Chungo"	"Closed"
"2/10/2021 11:27 AM"	4843689	"Katy Independent School District"	"eSchoolPLUS"			"No Class Information on the AP"	"2/23/2021 2:02 PM"	"2/10/2021 12:02 PM"	"2/23/2021 2:02 PM"	"Fabricio Chungo"	"Closed"
"3/25/2021 3:01 PM"	4874837	"Lewiston Porter Ctl Sch Dist"	"PowerSchool-API"			"Lew-Port Contact Report 2021-03-25"	"4/27/2021 2:21 PM"	"3/25/2021 3:35 PM"	"4/9/2021 9:53 AM"	"Fabricio Chungo"	"Closed"
"4/14/2021 2:15 PM"	4885388	"Columbia Heights Isd 13"	"Other"			"Missing staff accounts"	"4/15/2021 12:21 PM"	"4/14/2021 2:15 PM"	"4/15/2021 12:21 PM"	"Fabricio Chungo"	"Closed"
"2/23/2021 4:46 PM"	4852878	"San Juan Unified School District"	"Zangle (Q)"			"Data sync error"	"5/10/2021 2:56 PM"	"2/23/2021 5:28 PM"	"5/10/2021 2:56 PM"	"Fabricio Chungo"	"Closed"
"2/25/2021 3:57 PM"	4854997	"Plano Independent School District"	"Other"			"Changes to previously marked attendance are not being updated."	"3/2/2021 10:00 AM"	"2/25/2021 4:26 PM"	"3/1/2021 1:02 PM"	"Fabricio Chungo"	"Closed"
"3/1/2021 3:35 PM"	4857188	"Conway School District"	"Other"			"Letter Added to beginning of Parent Login"	"4/4/2021 9:18 AM"	"3/1/2021 3:55 PM"	"3/5/2021 8:07 AM"	"Fabricio Chungo"	"Closed"
"2/16/2021 12:52 PM"	4847725	"East Stroudsburg Area SD"	"Sapphire"			"Adding two fields to the import file for staff"	"2/25/2021 2:48 PM"	"2/16/2021 12:52 PM"	"2/25/2021 2:48 PM"	"Fabricio Chungo"	"Closed"
"4/19/2021 10:22 AM"	4887431	"North Ridgeville City School District"	"PowerSchool-API"			"Students Not Synced from PowerSchool to Blackboard"	"5/21/2021 11:18 AM"	"4/19/2021 12:13 PM"	"4/21/2021 11:08 AM"	"Fabricio Chungo"	"Closed"
"4/26/2021 2:10 PM"	4891888	"Marlborough Public Sch Dist"	"Aspen Follett (MSSQL)"			"Attendance did not run"	"5/29/2021 2:32 PM"	"4/26/2021 2:10 PM"	"4/29/2021 2:31 PM"	"Fabricio Chungo"	"Closed"
"5/3/2021 11:43 AM"	4895774	"Harrisonville Schools"	"Tyler SIS"			"parent recipient accounts missing; parent data file not importing into Mass Notifications"	"6/9/2021 4:17 PM"	"5/3/2021 11:43 AM"	"5/10/2021 4:13 PM"	"Fabricio Chungo"	"Closed"
"5/3/2021 1:44 PM"	4895915	"El Paso Independent School District"	"Other"			"Org missing in Blackboard Messaging"	"5/20/2021 4:32 PM"	"5/3/2021 2:40 PM"	"5/20/2021 4:32 PM"	"Fabricio Chungo"	"Closed"
"5/19/2021 10:09 AM"	4906085	"Clark County School District"	"InformationNow-API"			"Fwd: Clark County School District - ParentLink/BlackBoard user account name issue"	"5/24/2021 11:53 AM"	"5/19/2021 10:26 AM"	"5/24/2021 9:39 AM"	"Fabricio Chungo"	"Closed"
"5/19/2021 12:01 PM"	4906244	"North East Independent School District"	"Other"			"FW: Blackboard 911 Line Test Calling"	"6/27/2021 2:17 PM"	"5/19/2021 12:51 PM"	"5/28/2021 2:10 PM"	"Fabricio Chungo"	"Closed"
"6/17/2021 1:23 PM"	4924866	"Newberg School District 29J"	"Other"			"Query group with no members"	"6/29/2021 3:11 PM"	"6/17/2021 1:23 PM"	"6/18/2021 2:10 PM"	"Fabricio Chungo"	"Closed"
"3/11/2021 1:04 PM"	4865559	"Watertown-Mayer Sch Dist 111"	"Infinite Campus"			"Roles in BBComms"	"4/16/2021 4:33 PM"	"3/11/2021 2:11 PM"	"3/17/2021 4:22 PM"	"Fabricio Chungo"	"Closed"
"9/14/2020 1:43 PM"	4723665	"Prince George's County Public Schools"	"Other"	"Mass Comm | Data Question/Training"	"Enrollment"	"Update for Heather Hills ES"	"11/3/2020 10:06 AM"	"9/14/2020 2:23 PM"	"9/30/2020 3:56 PM"	"Fabricio Chungo"	"Closed"
"9/17/2020 2:40 PM"	4729196	"Upper Twp School District"	"PowerSchool"	"Mass Comm | Data Question/Training"	"Accounts"	"Adding a new field to the import"	"11/3/2020 10:07 AM"	"9/17/2020 2:40 PM"	"9/28/2020 9:42 AM"	"Fabricio Chungo"	"Closed"
"10/19/2020 1:48 PM"	4759909	"Lincoln County School District"	"PowerSchool-API"	"Mass Comm | Data Problem"	"Grades/Assignments"	"Creating Groups using Advanced Query"	"11/22/2020 9:32 AM"	"10/19/2020 2:31 PM"	"11/22/2020 9:32 AM"	"Fabricio Chungo"	"Closed"
"9/22/2020 2:17 AM"	4732934	"Clark County School District"	"InformationNow-API"	"Mass Comm | Data Problem"	"LDAP"	"Former LDAP short id not being made available for current account"	"11/3/2020 9:49 AM"	"9/22/2020 9:59 AM"	"10/15/2020 10:29 AM"	"Fabricio Chungo"	"Closed"
"9/22/2020 9:30 AM"	4733203	"Prince George's County Public Schools"	"Other"	"Mass Comm | Data Problem"	"Accounts"	"Student showing up multiple times - correct information not showing"	"11/3/2020 9:49 AM"	"9/22/2020 10:22 AM"	"10/7/2020 1:45 PM"	"Fabricio Chungo"	"Closed"
"9/28/2020 9:42 AM"	4739157	"Upper Twp School District"	"PowerSchool"	"Mass Comm | Data Request"	"Accounts"	"Create Parent Contact Groups from New Import Field"	"11/3/2020 10:24 AM"	"9/28/2020 10:45 AM"	"10/2/2020 10:23 AM"	"Fabricio Chungo"	"Closed"
"9/28/2020 8:13 PM"	4740085	"Issaquah School District 411"	"Destiny"	"Mass Comm | Data Problem"	"Accounts"	"Parent not appearing in Blackboard"	"11/3/2020 9:49 AM"	"9/29/2020 8:31 AM"	"10/1/2020 1:06 PM"	"Fabricio Chungo"	"Closed"
"10/8/2020 12:10 PM"	4750679	"Community Consolidated School District 93"	"PowerSchool-API"	"Mass Comm | Question/Training"	"Group"	"Including students and parents in a group"	"11/3/2020 11:11 AM"	"10/8/2020 12:10 PM"	"10/24/2020 10:32 AM"	"Fabricio Chungo"	"Closed"
"10/8/2020 8:17 AM"	4750236	"Gates Chili Central Sch Dist"	"SchoolTool"	"MCA | Problem"	"Admin App"	"Data Link Sync errrors"	"11/5/2020 7:17 AM"	"10/8/2020 11:51 AM"	"11/5/2020 7:17 AM"	"Fabricio Chungo"	"Closed"
"10/9/2020 11:48 AM"	4751903	"Plano Independent School District"	"Other"	"Mass Comm | Data Request"	"Attendance"	"Delete Attendance Codes"	"1/21/2021 11:03 AM"	"10/9/2020 12:05 PM"	"1/21/2021 11:02 AM"	"Fabricio Chungo"	"Closed"
"10/16/2020 11:00 AM"	4758461	"Manchester School District"	"PowerSchool"	"Mass Comm | Data Problem"	"Accounts"	"Groups"	"12/3/2020 9:47 AM"	"10/16/2020 12:06 PM"	"12/3/2020 9:47 AM"	"Fabricio Chungo"	"Closed"
"10/22/2020 5:46 PM"	4763835	"Turlock Unified Sch District"	"Aeries"	"Mass Comm | Data Question/Training"	"Accounts"	"Run Update"	"12/4/2020 2:17 PM"	"10/23/2020 8:19 AM"	"11/4/2020 2:12 PM"	"Fabricio Chungo"	"Closed"
"10/22/2020 10:56 AM"	4763270	"Morris Hills Reg High Sch Dist"	"Aspen Follett (MSSQL)"	"Mass Comm | Data Problem"	"Grades/Assignments"	"Assignments and Grades not showing up in the app"	"3/11/2021 11:13 AM"	"10/22/2020 12:46 PM"	"3/11/2021 11:13 AM"	"Fabricio Chungo"	"Closed"
"10/26/2020 10:03 AM"	4765658	"Manchester School District"	"PowerSchool"	"Mass Comm | Data Problem"	"Accounts"	"Teacher missing"	"11/18/2020 12:45 PM"	"10/27/2020 11:19 AM"	"11/18/2020 12:45 PM"	"Fabricio Chungo"	"Closed"
"10/27/2020 6:52 PM"	4767612	"Battle Ground Public Schools"	"Skyward"	"Mass Comm | Data Question/Training"	"Accounts"	"Need to add student groups to file, mapping"	"12/18/2020 12:31 PM"	"10/28/2020 8:41 AM"	"12/18/2020 8:14 AM"	"Fabricio Chungo"	"Closed"
"6/24/2021 4:27 PM"	4929383	"Wylie ISD"	"Skyward"			"LDAP"	"6/29/2021 2:22 PM"	"6/24/2021 4:27 PM"		"Fabricio Chungo"	"Pending User"
"6/2/2021 2:38 PM"	4915088	"Community Consolidated School Dist 15"	"Infinite Campus"			"an inquery about why not all students are appearing in Mass Notifications"	"6/4/2021 9:53 AM"	"6/2/2021 2:39 PM"	"6/4/2021 9:37 AM"	"Fabricio Chungo"	"Solution Suggested"
"3/19/2021 12:54 PM"	4871072	"Burbank Unified School Dist"	"Aeries"			"Creating Dynamic Cohort Groups"	"5/9/2021 3:02 PM"	"3/19/2021 12:54 PM"	"4/9/2021 2:58 PM"	"Federico Bufanio"	"Closed"
"10/30/2020 2:12 PM"	4770618	"Southern Kern Unified Sch Dist"	"Aeries"	"Mass Comm | Data Problem"	"Accounts"	"Classes"	"12/10/2020 1:48 PM"	"10/30/2020 2:12 PM"	"11/10/2020 1:43 PM"	"Federico Bufanio"	"Closed"
"11/5/2020 1:13 PM"	4775410	"Azusa Unified School District"	"Aeries"			"Principal Account Not Being Created"	"11/15/2020 7:32 AM"	"11/5/2020 1:13 PM"	"11/15/2020 7:32 AM"	"Federico Bufanio"	"Closed"
"11/9/2020 11:55 AM"	4778130	"St. Charles Community Unit School District 303"	"eSchoolPLUS"			"Update to student query"	"11/12/2020 12:39 PM"	"11/11/2020 11:07 AM"	"11/12/2020 12:35 PM"	"Federico Bufanio"	"Closed"
"11/16/2020 1:41 PM"	4783891	"Topeka Unified School Dist 501"	"Other"			"Attendance Calls"	"1/6/2021 12:18 PM"	"11/16/2020 2:50 PM"	"1/6/2021 12:17 PM"	"Federico Bufanio"	"Closed"
"11/18/2020 1:29 PM"	4786200	"Kettle Moraine School District"	"Infinite Campus"			"Enrollment update"	"12/31/2020 9:20 AM"		"12/31/2020 9:20 AM"	"Federico Bufanio"	"Closed"
"11/20/2020 8:32 AM"	4787956	"Downingtown Area School District"	"Infinite Campus"			"Student Bus Data Still Displaying From Previous Year"	"12/30/2020 10:02 AM"	"11/20/2020 9:23 AM"	"11/30/2020 9:54 AM"	"Federico Bufanio"	"Closed"
"11/30/2020 11:34 AM"	4793740	"Arab City School District"	"Chalkable (iNow)"			"DataLink generating error and failing to send files"	"12/18/2020 7:47 AM"	"11/30/2020 12:31 PM"	"12/18/2020 7:47 AM"	"Federico Bufanio"	"Closed"
"12/2/2020 1:32 PM"	4796074	"Folsom Cordova Unified School District"	"PowerSchool"			"Routefinder reconnection"	"12/24/2020 3:03 PM"	"12/2/2020 3:37 PM"	"12/24/2020 3:03 PM"	"Federico Bufanio"	"Closed"
"12/9/2020 8:54 AM"	4801264	"Monroe Co Cmty School District"	"Skyward"			"Staff Member With Multiple School Assignments"	"12/11/2020 10:46 AM"	"12/9/2020 9:25 AM"	"12/11/2020 7:27 AM"	"Federico Bufanio"	"Closed"
"12/15/2020 4:40 PM"	4806732	"Muscle Shoals City School Dist"	"InformationNow-API"			"Missing Accounts"	"12/27/2020 12:48 PM"	"12/15/2020 4:41 PM"	"12/27/2020 12:47 PM"	"Federico Bufanio"	"Closed"
"12/15/2020 8:25 AM"	4806039	"Forney Independent School District"				"Security Support"	"2/13/2021 12:47 PM"	"12/15/2020 9:28 AM"	"1/14/2021 12:45 PM"	"Federico Bufanio"	"Closed"
"12/15/2020 5:45 PM"	4806808	"Dinuba Unified School District"	"PowerSchool-API"			"No students are populating when trying to send an email based on homeroom."	"1/6/2021 7:18 AM"	"12/16/2020 10:05 AM"	"1/6/2021 7:18 AM"	"Federico Bufanio"	"Closed"
"12/16/2020 11:46 AM"	4807461	"Pemberton Township Schools"	"Genesis"			"Primary phone number"	"1/22/2021 9:02 AM"	"12/21/2020 11:18 AM"	"12/23/2020 8:56 AM"	"Federico Bufanio"	"Closed"
"12/16/2020 11:07 AM"	4807403	"Williamson County Schools"	"Skyward"			"District Wide - No Students Showing for Attendance"	"12/17/2020 7:25 AM"	"12/16/2020 11:10 AM"	"12/17/2020 7:24 AM"	"Federico Bufanio"	"Closed"
"12/17/2020 9:44 AM"	4808315	"Floyd County School District"	"PowerSchool-API"			"teacher not importing into system"	"1/8/2021 9:48 AM"	"12/17/2020 9:53 AM"	"1/8/2021 9:47 AM"	"Federico Bufanio"	"Closed"
"12/17/2020 10:44 AM"	4808398	"West Chicago Elementary Sd 33"	"eSchoolPLUS"			"a request to add an additional file for correct title field to create staff data source"	"1/5/2021 2:31 PM"	"12/17/2020 10:50 AM"	"1/5/2021 7:23 AM"	"Federico Bufanio"	"Closed"
"1/6/2021 3:56 PM"	4817668	"Council Bluffs Community School District"	"eSchoolPLUS"			"Organization and File"	"1/13/2021 1:50 PM"	"1/6/2021 3:56 PM"	"1/13/2021 12:26 PM"	"Federico Bufanio"	"Closed"
"1/6/2021 12:36 PM"	4817439	"Westside Community Schools"	"PowerSchool"			"Missing Parent Accounts"	"5/19/2021 10:42 AM"	"1/6/2021 1:20 PM"	"5/19/2021 10:42 AM"	"Federico Bufanio"	"Closed"
"1/15/2021 10:20 AM"	4824020	"Placentia-Yorba Linda USD"	"Aeries"			"Glenview's Teacher and Staff Tables (Not Updated?)"	"2/12/2021 2:32 PM"	"1/15/2021 11:00 AM"	"2/12/2021 2:32 PM"	"Federico Bufanio"	"Closed"
"1/25/2021 3:07 PM"	4830741	"Apache Junction Unified Sd 43"	"Synergy"			"Absence Calls"	"3/4/2021 3:31 PM"	"1/25/2021 3:54 PM"	"3/4/2021 3:15 PM"	"Federico Bufanio"	"Closed"
"1/25/2021 12:11 PM"	4830497	"Missoula County Public Schools"	"Other"			"teacher can't see class groups in Blackboard Teacher Comms"	"2/26/2021 7:32 AM"	"1/25/2021 2:16 PM"	"1/27/2021 7:21 AM"	"Federico Bufanio"	"Closed"
"2/16/2021 8:45 AM"	4847471	"North Ridgeville City School District"	"PowerSchool-API"			"Parent Did Not Receive Call or Text"	"3/31/2021 10:17 AM"	"2/16/2021 9:52 AM"	"3/1/2021 9:10 AM"	"Federico Bufanio"	"Closed"
